uid,title,content,type,audio_file_name,category
11,Ave Maria (Gounod),"<p>Ave Maria<br/>
gratia plena<br/>
Dominus tecum<br/>
Et benedicta tu<br/>
In mulieribus<br/>
Et benedictus<br/>
Fructus ventris tui Jesus!</p>
<p>Sancta Maria<br/>
Sancta Maria, Maria<br/>
Ora pro nobis<br/>
Nobis peccatoribus<br/>
Nunc et in hora<br/>
In hora mortis nostrae<br/>
Amen, Amen.</p>",lyric,04 Ave Maria (Gounod),","
12,Ave Maria (Schubert),"<p>Ave Maria ( Schubert )</p>
<p>Ave Maria, gratia plena,<br/>
Maria, gratia plena,<br/>
Maria, gratia plena,<br/>
Ave, Ave, Dominus,<br/>
Dominus tecum.<br/>
Benedicta tu in mulieribus, et benedictus,<br/>
Et benedictus fructus ventris (tui),<br/>
Ventris tui, Jesus.<br/>
Ave Maria!</p>
<p>Ave Maria, Mater Dei,<br/>
Ora pro nobis peccatoribus,<br/>
Ora, ora pro nobis;<br/>
Ora, ora pro nobis peccatoribus,<br/>
Nunc et in hora mortis,<br/>
In hora mortis nostrae.<br/>
In hora, hora mortis nostrae,<br/>
In hora mortis nostrae.<br/>
Ave Maria!</p>",lyric,05 Ave Maria (Schubert),","
13,Because I could not stop for death (Khalil Gibran),"<p>By Khal?l Gibran</p>
<p>Because I could not stop for Death -<br/>
He kindly stopped for me -<br/>
The Carriage held but just Ourselves -<br/>
And Immortality.</p>
<p>We slowly drove - He knew no haste<br/>
And I had put away<br/>
My labor and my leisure too,<br/>
For His Civility -</p>
<p>We passed the School, where Children strove<br/>
At Recess - in the Ring -<br/>
We passed the Fields of Gazing Grain -<br/>
We passed the Setting Sun -</p>
<p>Or rather - He passed Us -<br/>
The Dews drew quivering and Chill -<br/>
For only Gossamer, my Gown -<br/>
My Tippet - only Tulle -</p>
<p>We paused before a House that seemed<br/>
A Swelling of the Ground -<br/>
The Roof was scarcely visible -<br/>
The Cornice - in the Ground -</p>
<p>Since then - &#x27;tis Centuries - and yet<br/>
Feels shorter than the Day<br/>
I first surmised the Horses&#x27; Heads<br/>
Were toward Eternity -</p>",reading,,Poems
14,Christ Be Beside Me,"<p>Christ be before me,<br/>
Christ be behind me,<br/>
King of my heart;<br/>
Christ be within me,<br/>
Christ be below me,<br/>
Christ be above me<br/>
never to part.</p>
<p>Christ on my right hand,<br/>
Christ on my left hand,<br/>
Christ all around me<br/>
shield in the strife;<br/>
Christ in my sleeping,<br/>
Christ in my sitting,<br/>
Christ in my rising<br/>
light up my life.</p>
<p>Christ be in all hearts,<br/>
Thinking about me,<br/>
Christ be on all tongues<br/>
Telling of me;<br/>
Christ be the vision,<br/>
In eyes that see me,<br/>
In ears that hear me<br/>
Christ ever be.</p>",lyric,06 Christ Be Beside Me,","
15,Crossing The Bar (Alfred Lord Tennyson),"<p>Sunset and evening star,<br/>
And one clear call for me!<br/>
And may there be no moaning of the bar,<br/>
When I put out to sea,</p>
<p>But such a tide as moving seems asleep,<br/>
Too full for sound and foam,<br/>
When that which drew from out the boundless deep<br/>
Turns again home.</p>
<p>Twilight and evening bell,<br/>
And after that the dark!<br/>
And may there be no sadness of farewell,<br/>
When I embark;</p>
<p>For tho&#x27; from out our bourne of Time and Place<br/>
The flood may bear me far,<br/>
I hope to see my Pilot face to face<br/>
When I have crost the bar.</p>",lyric,,
16,Daniel 12:1-3,"<p>Daniel12:1-3At that time shall arise Michael, the great prince who has charge of your people.And there shall be a time of trouble, such as never has been since there was a nation till that time.But at that time your people shall be delivered,everyone whose name shall be found written in the book.And many of those who sleep in the dust of the earth shall awake,some to everlasting life, and some to shame and everlasting contempt.And those who are wise shall shine like the brightness of the sky above;and those who turn many to righteousness, like the stars forever and ever.</p>",reading,,Old Testament
17,Do Not Be Afraid,"<p>For I have redeemed you.<br/>
I have called you by your name;<br/>
You are mine.</p>
<p>Verse 1<br/>
When you walk through the waters I&#x27;ll be with you,<br/>
You will never sink beneath the waves.</p>
<p>Chorus<br/>
Do not be afraid,<br/>
For I have redeemed you.<br/>
I have called you by your name;<br/>
You are mine.</p>
<p>Verse 2<br/>
When the fire is burning all around you,<br/>
You will never be consumed by the flames.</p>
<p>Chorus<br/>
Do not be afraid,<br/>
For I have redeemed you.<br/>
I have called you by your name;<br/>
You are mine.</p>
<p>Verse 3<br/>
When the fear of loneliness is looming,<br/>
Then remember I am at your side.</p>
<p>Chorus<br/>
Do not be afraid,<br/>
For I have redeemed you.<br/>
I have called you by your name;<br/>
You are mine.</p>
<p>Verse 4<br/>
When you dwell in the exile of a stranger,<br/>
Remember you are precious in my eyes.</p>
<p>Chorus<br/>
Do not be afraid,<br/>
For I have redeemed you.<br/>
I have called you by your name;<br/>
You are mine.</p>
<p>Verse 5<br/>
You are mine, O my child; I am your father,<br/>
And I love you with a perfect love.</p>
<p>Chorus<br/>
Do not be afraid,<br/>
For I have redeemed you.<br/>
I have called you by your name;<br/>
You are mine.</p>",lyric,07 Do Not Be Afraid,","
18,Do not stand at my grave and weep (Clare Harner),"<p>By Clare Harner</p>
<p>Do not stand<br/>
By my grave, and weep.<br/>
I am not there,<br/>
I do not sleep-<br/>
I am the thousand winds that blow<br/>
I am the diamond glints in snow<br/>
I am the sunlight on ripened grain,<br/>
I am the gentle, autumn rain.<br/>
As you awake with morning&#x27;s hush,<br/>
I am the swift up-flinging rush<br/>
Of quiet birds in circled flight,<br/>
I am the day transcending soft night.<br/>
Do not stand<br/>
By my grave, and cry-<br/>
I am not there.<br/>
I did not die.</p>",reading,,Poems
19,Ecclesiastes 3:1-8,"<p>Ecclesiastes3:1-8For everything there is a season, and a time for every matter under heaven:a time to be born, and a time to die; a time to plant, and a time to pluck up what is planted;a time to kill, and a time to heal; a time to break down, and a time to build up;a time to weep, and a time to laugh; a time to mourn, and a time to dance;a time to cast away stones, and a time to gather stones together; a time to embrace, and a time to refrain from embracing;a time to seek, and a time to lose; a time to keep, and a time to cast away;a time to tear, and a time to sew; a time to keep silence, and a time to speak;a time to love, and a time to hate; a time for war, and a time for peace.</p>",reading,,Old Testament
20,Eternal rest prayer,"<p>Eternal rest grant unto them, O Lord.<br/>
And let the perpetual light shine upon them.<br/>
May they rest in peace.</p>
<p>And may the souls of all the faithful departed,<br/>
through the mercy of God,<br/>
rest in peace.</p>
<p>Amen.</p>",reading,,Prayers
21,Fear (Khalil Gibran),"<p>Fear ( Khalil Gibran)</p>
<p>By Khalil Gibran</p>
<p>It is said that before entering the sea<br/>
a river trembles with fear.<br/>
She looks back at the path she has traveled,<br/>
from the peaks of the mountains,<br/>
the long winding road crossing forests and villages.<br/>
And in front of her, she sees an ocean so vast,<br/>
that to enter there seems nothing more than to disappear forever.<br/>
But there is no other way.<br/>
The river can not go back.<br/>
Nobody can go back.<br/>
To go back is impossible in existence.<br/>
The river needs to take the risk of entering the ocean<br/>
because only then will fear disappear,<br/>
because that&#x27;s where the river will know<br/>
it&#x27;s not about disappearing into the ocean,<br/>
but of becoming the ocean.</p>",reading,,Poems
22,Going Home,<p>Lyrics not available.</p>,lyric,08 Going Home,","
23,Gone Home,"<p>Going Home</p>
<p>Goin&#x27; home. goin&#x27; home. I&#x27;m just goin&#x27; home.<br/>
Quiet-like slip away, I’ll be goin&#x27; home.<br/>
It&#x27;s not far, just close by, Jesus is the door.<br/>
Work all done, laid aside, fear and grief no more;<br/>
Friends are there waiting too, He is waiting too,<br/>
See his smile, see his hand, He will lead me through.</p>
<p>Morning star lights the way, restless dream all done.<br/>
Shadows gone, break of day, life has just begun.<br/>
Every tear wiped away, pain and sickness gone;<br/>
Wide awake, there with Him, peace goes on and on.<br/>
Goin’ home. G oin’ home, I’ll be goin’ home.<br/>
See the Light, see the sun, I’m just goin’ home.</p>",reading,,New Testament
24,"Gospel Luke 24-13-16,28-35","<p>Gospel Luke 24- 13-16,28-35<br/>
A Reading From The Holy Gospel According To Luke</p>
<p>24: 13-16,28-35</p>
<p>Now that very day two of them were going to a village<br/>
seven miles from Jerusalem called Emmaus,<br/>
and they were conversing about all the things<br/>
that had occurred.<br/>
And it happened that while they were conversing<br/>
and debating, Jesus himself drew near<br/>
and walked with them, but their eyes<br/>
were prevented from recognizing him.<br/>
As they approached the village<br/>
to which they were going, he gave the impression<br/>
that he was going on farther.<br/>
But they urged him, “Stay with us,<br/>
for it is nearly evening and the day is almost over.”<br/>
So he went in to stay with them.<br/>
And it happened that, while he was with them at table,<br/>
he took bread, said the blessing, broke it,<br/>
and gave it to them.<br/>
With that their eyes were opened and they<br/>
recognized him, but he vanished from their sight.<br/>
Then they said to each other, “Were not our hearts<br/>
burning within us while he spoke to us on the way<br/>
and opened the scriptures to us?”<br/>
So they set out at once and returned to Jerusalem<br/>
where they found gathered together the eleven<br/>
and those with them who were saying,<br/>
“The Lord has truly been raised<br/>
and has appeared to Simon!”<br/>
Then the two recounted what had taken place<br/>
on the way and how he was made known to them<br/>
in the breaking of the bread.</p>
<p>The Gospel of the Lord</p>",reading,,New Testament
25,Here I Am Lord,"<p>I, the Lord of sea and sky,<br/>
I have heard My people cry.<br/>
All who dwell in dark and sin My hand will save.<br/>
I, who made the stars of night,<br/>
I will make their darkness bright.<br/>
Who will bear My light to them - whom shall I send?</p>
<p>Here I am, Lord. Is it I, Lord<br/>
I have heard You calling in the night.<br/>
I will go, Lord, if You lead me;<br/>
I will hold Your people in my heart.</p>
<p>I, the Lord of snow and rain,<br/>
I have borne My people&#x27;s pain.<br/>
I have wept for love of them; they turn away.<br/>
I will break their hearts of stone,<br/>
Give them hearts for love alone.<br/>
I will speak My Word to them - whom shall I send?</p>
<p>Here I am, Lord. Is it I, Lord<br/>
I have heard You calling in the night.<br/>
I will go, Lord, if You lead me;<br/>
I will hold Your people in my heart.</p>
<p>I, the Lord of wind and flame,<br/>
I will tend the poor and lame.<br/>
I will set a feast for them; My hand will save.<br/>
Finest bread I will provide,<br/>
Till their hearts be satisfied.<br/>
I will give My life to them - whom shall I send?</p>
<p>Here I am, Lord. Is it I, Lord<br/>
I have heard You calling in the night.<br/>
I will go, Lord, if You lead me;<br/>
I will hold Your people in my heart.</p>",lyric,09 Here I Am Lord,","
26,How Great Thou Art,"<p>O Lord my God! When I in awesome wonder<br/>
Consider all the works Thy hand hath made.<br/>
I see the stars, I hear the rolling thunder,<br/>
Thy power throughout the universe displayed.</p>
<p>Chorus:<br/>
Then sings my soul, my Saviour God, to Thee:<br/>
How great Thou art, how great Thou art!<br/>
Then sings my soul, my Saviour God, to Thee:<br/>
How great Thou art, how great Thou art!</p>
<p>When through the woods and forest glades I wander<br/>
And hear the birds sing sweetly in the trees;<br/>
When I look down from lofty mountain grandeur<br/>
And hear the brook and feel the gentle breeze:</p>
<p>Chorus:<br/>
Then sings my soul, my Saviour God, to Thee:<br/>
How great Thou art, how great Thou art!<br/>
Then sings my soul, my Saviour God, to Thee:<br/>
How great Thou art, how great Thou art!</p>
<p>And when I think that God, His Son not sparing,<br/>
Sent Him to die, I scarce can take it in;<br/>
That on the cross, my burden gladly bearing,<br/>
He bled and died to take away my sin:</p>
<p>Chorus:<br/>
Then sings my soul, my Saviour God, to Thee:<br/>
How great Thou art, how great Thou art!<br/>
Then sings my soul, my Saviour God, to Thee:<br/>
How great Thou art, how great Thou art!<br/>
When Christ shall come with shout of acclamation<br/>
And take me home, what joy shall fill my heart!<br/>
Then I shall bow in humble adoration,<br/>
And there proclaim, my God, how great Thou art!</p>
<p>Chorus:<br/>
Then sings my soul, my Saviour God, to Thee:<br/>
How great Thou art, how great Thou art!<br/>
Then sings my soul, my Saviour God, to Thee:<br/>
How great Thou art, how great Thou art!<br/>
How great Thou art!</p>",lyric,10 How Great Thou Art,","
27,I Watch the Sunrise,"<p>lighting the sky,<br/>
Casting its shadows near.<br/>
And on this morning, bright thought it be,<br/>
I feel those shadows near me.</p>
<p>Refrain:<br/>
But you are always, close to me,<br/>
Following all my ways.<br/>
May I be always close to you,<br/>
Following all your ways, Lord.<br/>
I watch the sunlight shine through the clouds,<br/>
Warming the earth below.<br/>
And at the mid-day, life seems to say:<br/>
I feel your brightness near me.</p>
<p>Refrain:<br/>
But you are always, close to me,<br/>
Following all my ways.<br/>
May I be always close to you,<br/>
Following all your ways, Lord.</p>
<p>I watch the sunset fading away,<br/>
Lighting the clouds with sleep.<br/>
And as the evening closes it eyes,<br/>
I feel your presence near me.</p>
<p>Refrain:<br/>
But you are always, close to me,<br/>
Following all my ways.<br/>
May I be always close to you,<br/>
Following all your ways, Lord.</p>
<p>I watch the moonlight guarding the night,<br/>
Waiting till morning comes.<br/>
The air is silent, earth is at rest<br/>
Only your peace is near</p>
<p>Refrain:<br/>
But you are always, close to me,<br/>
Following all my ways.<br/>
May I be always close to you,<br/>
Following all your ways, Lord.<br/>
But you are always, close to me,<br/>
Following all my ways.</p>",reading,,Hymns
28,I Will Be with You,"<p>wherever you go.<br/>
Go now throughout the world!<br/>
in all that you say.<br/>
Go now and spread my word!</p>
<p>Come, walk with me on stormy waters.<br/>
Why fear? Reach out, and I&#x27;ll be there.</p>
<p>wherever you go.<br/>
Go now throughout the world!<br/>
in all that you say.<br/>
Go now and spread my word!</p>
<p>And you, my friend, will you now leave me,<br/>
Or do you know me as your Lord?</p>
<p>wherever you go.<br/>
Go now throughout the world!<br/>
in all that you say.<br/>
Go now and spread my word!</p>
<p>Your life will be transformed with power<br/>
By living truly in my name.</p>
<p>wherever you go.<br/>
Go now throughout the world!<br/>
in all that you say.<br/>
Go now and spread my word!</p>
<p>And if you say: &#x27;Yes, Lord I love you,&quot;<br/>
Then feed my lambs and feed my sheep.</p>
<p>wherever you go.<br/>
Go now throughout the world!<br/>
in all that you say.<br/>
Go now and spread my word!</p>",lyric,12 I Will Be With You,","
29,I'll Walk with God,"<p>From this day on<br/>
His helping hand I&#x27;ll lean upon<br/>
This is my prayer my humble plea<br/>
May the lord be ever with me</p>
<p>There is no death though eyes grow dim<br/>
There is no fear when I&#x27;m near to him<br/>
I&#x27;ll lean on him forever<br/>
And he&#x27;ll forsake me never<br/>
He will not fail me as long as my faith is strong<br/>
What ever road I may walk alone</p>
<p>I&#x27;ll walk with god<br/>
I&#x27;ll take his hand<br/>
I&#x27;ll talk with god he&#x27;ll understand<br/>
I&#x27;ll pray to him<br/>
Each day to him<br/>
And he&#x27;ll hear the words that I say<br/>
His hand will guide my throne and rod<br/>
And I&#x27;ll never walk alone<br/>
While I walk with god</p>",lyric,13 I'll Walk With God,","
30,In the Arms of the Angels,"<p>In the Arms of the Angel</p>
<p>Spend all your time waiting<br/>
For that second chance<br/>
For a break that would make it okay<br/>
There&#x27;s always some reason<br/>
To feel not good enough<br/>
And it&#x27;s hard at the end of the day<br/>
I need some distraction<br/>
Oh, a beautiful release<br/>
Memories seep from my veins<br/>
Let me be empty<br/>
Oh, and weightless and maybe<br/>
I&#x27;ll find some peace tonightIn the arms of the angel<br/>
Fly away from here<br/>
From this dark cold hotel room<br/>
And the endlessness that you fear<br/>
You are pulled from the wreckage<br/>
Of your silent reverie<br/>
You&#x27;re in the arms of the angel<br/>
May you find some comfort hereSo tired of the straight line<br/>
And everywhere you turn<br/>
There&#x27;s vultures and thieves at your back<br/>
And the storm keeps on twisting<br/>
You keep on building the lies<br/>
That you make up for all that you lack<br/>
It don&#x27;t make no difference<br/>
Escaping one last time<br/>
It&#x27;s easier to believe<br/>
In this sweet madness<br/>
Oh, this glorious sadness<br/>
That brings me to my kneesIn the arms of the angel<br/>
Fly away from here<br/>
From this dark cold hotel room<br/>
And the endlessness that you fear<br/>
You are pulled from the wreckage<br/>
Of your silent reverie<br/>
You&#x27;re in the arms of the angel<br/>
May you find some comfort hereYou&#x27;re in the arms of the angel<br/>
May you find some comfort here</p>",reading,,New Age
31,Isaiah 25:6-9,"<p>Isaiah &amp;nbsp;</p>
<p>25:6-9</p>
<p>On this mountain the Lord of hosts will make for all peoplesa feast of rich food, a feast of well-aged wine,of rich food full of marrow, of aged wine well refined.</p>
<p>And he will swallow up on this mountainthe covering that is cast over all peoples,the veil that is spread over all nations.</p>
<p>He will swallow up death forever;and the Lord God will wipe away tears from all faces,and the reproach of his people he will take away from all the earth,for the Lord has spoken.</p>
<p>It will be said on that day,“Behold, this is our God; we have waited for him, that he might save us.This is the Lord; we have waited for him;let us be glad and rejoice in his salvation.”</p>",reading,,Old Testament
32,Jerusalem,<p>Lyrics not available.</p>,lyric,14 Jerusalem,","
33,Jerusalem (Blake),"<p>And did those feet in ancient time<br/>
walk upon England&#x27;s mountains green?<br/>
And was the holy Lamb of God<br/>
on England&#x27;s pleasant pastures seen?<br/>
And did the countenance divine<br/>
shine forth upon our clouded hills?<br/>
And was Jerusalem builded here<br/>
among those dark satanic mills?</p>
<p>Bring me by bow of burning gold!<br/>
Bring me my arrows of desire!<br/>
Bring me my spear! O clouds, unfold!<br/>
Bring me my chariot of fire!<br/>
I will not cease from mental fight,<br/>
nor shall my sword sleep in my hand,<br/>
till we have built Jerusalem<br/>
in England&#x27;s green and pleasant land.</p>",lyric,,
34,Job 19:23-27,"<p>Job19:23-27Oh that my words were written!Oh that they were inscribed in a book!Oh that with an iron pen and leadthey were engraved in the rock forever!For I know that my Redeemer lives,and at the last he will stand upon the earth.And after my skin has been thus destroyed,yet in my flesh I shall see God,whom I shall see for myself,and my eyes shall behold, and not another.My heart faints within me!</p>",reading,,Old Testament
35,John 11-32-45,"<p>Gospel John 11- 32-45<br/>
A Reading From The Holy Gospel According To John</p>
<p>11: 32-45</p>
<p>When Mary came to where Jesus was and saw him,<br/>
she fell at his feet and said to him,<br/>
“Lord, if you had been here,<br/>
my brother would not have died.”<br/>
When Jesus saw her weeping<br/>
and the Jews who had come with her weeping,<br/>
he became perturbed and deeply troubled,<br/>
and said, “Where have you laid him?”<br/>
They said to him, “Sir, come and see.”<br/>
And Jesus wept.<br/>
So the Jews said, “See how he loved him.”<br/>
But some of them said, “Could not the one<br/>
who opened the eyes of the blind man<br/>
have done something so that this man<br/>
would not have died?”<br/>
So Jesus, perturbed again, came to the tomb.<br/>
It was a cave, and a stone lay across it.<br/>
Jesus said, “Take away the stone.”<br/>
Martha, the dead man’s sister, said to him,<br/>
“Lord, by now there will be a stench;<br/>
he has been dead for four days.”<br/>
Jesus said to her, “Did I not tell you<br/>
that if you believe you will see the glory of God?”<br/>
So they took away the stone.<br/>
And Jesus raised his eyes and said,<br/>
“Father, I thank you for hearing me. I know<br/>
that you always hear me; but because of the crowd<br/>
here I have said this, that they may believe<br/>
that you sent me.”<br/>
And when he had said this, he cried out in a loud voice,<br/>
The dead man came out,<br/>
tied hand and foot with burial bands,<br/>
and his face was wrapped in a cloth.<br/>
So Jesus said to them, “Untie him and let him go.”<br/>
Now many of the Jews who had come to Mary<br/>
and seen what he had done began to believe in him.</p>
<p>The Gospel of the Lord</p>",reading,,New Testament
36,John 11:17-27,"<p>John11:17-27Now when Jesus came, he found that Lazarus had already been in the tomb four days. Bethany was near Jerusalem, about two miles off, and many of the Jews had come to Martha and Mary to console them concerning their brother. So when Martha heard that Jesus was coming, she went and met him, but Mary remained seated in the house. Martha said to Jesus “Lord, if you had been here, my brother would not have died. But even now I know that whatever you ask from God, God will give you.”Jesus said to her, “Your brother will rise again.”  Martha said to him, “I know that he will rise again in the resurrection on the last day.” Jesus said to her, “I am the resurrection and the life. Whoever believes in me, though he die, yet shall he live, and whoever believes in me shall never die. Do you believe this?” She said to him, “Yes Lord; I believe that you are the Christ, the Son of God who is coming into the world.”</p>",reading,,New Testament
37,John 14:1-6,"<p>John14:1-6My soul is bereft of peace;I have forgotten what happiness is;so I say, “My endurance has perished;so has my hope from the Lord.”Remember my affliction and my wanderings,the wormwood and the gall!My soul continually remembers itand is bowed down within me.But this I call to mind,and therefore I have hope:The steadfast love of the Lord never ceases;his mercies never come to an end;they are new every morning;great is your faithfulness.“The Lord is my portion,” says my soul,“therefore I will hope in him.”The Lord is good to those who wait for him,to the soul who seeks him.It is good that one should wait quietlyfor the salvation of the Lord.</p>",reading,,New Testament
38,John 6-37-40,"<p>Gospel John 6- 37-40</p>
<p>6: 37-40<br/>
Jesus said to the crowds:<br/>
&quot;Everything that the Father gives me will come to me,<br/>
and I will not reject anyone who comes to me,<br/>
because I came down from heaven<br/>
not to do my own will<br/>
but the will of the one who sent me.<br/>
And this is the will of the one who sent me,<br/>
that I should not lose anything of what he gave me,<br/>
but that I should raise it on the last day.<br/>
For this is the will of my Father,<br/>
that everyone who sees the Son<br/>
and believes in him may have eternal life,<br/>
and I shall raise him on the last day.&quot;</p>
<p>The Gospel of the Lord</p>",reading,,New Testament
